Product,ActionSet,Action,Action_Describe,Action_Link
SAS Visual Analytics,accessControl,isAuthorizedActions,Shows whether access is authorized to actions,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-isauthorizedactions.htm&locale=en
SAS Visual Analytics,accessControl,isAuthorizedColumns,Shows whether access is authorized to columns,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-isauthorizedcolumns.htm&locale=en
SAS Visual Analytics,accessControl,isAuthorizedTables,Shows whether access is authorized to tables,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-isauthorizedtables.htm&locale=en
SAS Visual Analytics,accessControl,isInRole,Shows whether a role is assumed,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-isinrole.htm&locale=en
SAS Visual Analytics,accessControl,listAcsActionSet,Lists access controls for an action or action set,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-listacsactionset.htm&locale=en
SAS Visual Analytics,accessControl,listAcsData,"Lists access controls for caslibs, tables, and columns",http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-listacsdata.htm&locale=en
SAS Visual Analytics,accessControl,listAllPrincipals,Lists all principals that have explicit access controls,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-listallprincipals.htm&locale=en
SAS Visual Analytics,accessControl,listMetadata,"Lists the metadata for caslibs, tables, columns, action sets, actions, or administrators",http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-listmetadata.htm&locale=en
SAS Visual Analytics,accessControl,operActionMd,"Adds, deletes, and modifies action metadata",http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-operactionmd.htm&locale=en
SAS Visual Analytics,accessControl,operActionSetMd,"Adds, deletes, and modifies action set metadata",http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-operactionsetmd.htm&locale=en
SAS Visual Analytics,accessControl,operAdminMd,Assigns users and groups to roles and modifies administrator metadata,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-operadminmd.htm&locale=en
SAS Visual Analytics,accessControl,operBWPaths,Configures a blacklist or whitelist of paths,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-operbwpaths.htm&locale=en
SAS Visual Analytics,accessControl,operColumnMd,"Adds, deletes, and modifies column metadata",http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-opercolumnmd.htm&locale=en
SAS Visual Analytics,accessControl,operTableMd,"Adds, deletes, and modifies table metadata",http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-opertablemd.htm&locale=en
SAS Visual Analytics,accessControl,remAllAcsActionSet,Removes all access controls for an action set or action,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-remallacsactionset.htm&locale=en
SAS Visual Analytics,accessControl,remAllAcsData,"Removes all access controls for a caslib, table, or column",http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-remallacsdata.htm&locale=en
SAS Visual Analytics,accessControl,repAllAcsAction,Replaces all access controls for an action,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-repallacsaction.htm&locale=en
SAS Visual Analytics,accessControl,repAllAcsActionSet,Replaces all access controls for an action set,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-repallacsactionset.htm&locale=en
SAS Visual Analytics,accessControl,repAllAcsCaslib,Replaces all access controls for a caslib,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-repallacscaslib.htm&locale=en
SAS Visual Analytics,accessControl,repAllAcsColumn,Replaces all access controls for a column,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-repallacscolumn.htm&locale=en
SAS Visual Analytics,accessControl,repAllAcsTable,Replaces all access controls for a table,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-repallacstable.htm&locale=en
SAS Visual Analytics,accessControl,rollbackTransaction,"Discards all changes in an access control transaction, releases all checked-out objects, and terminates the transaction",http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-rollbacktransaction.htm&locale=en
SAS Visual Analytics,accessControl,showRolesAllowed,Shows the roles that a user is a member of,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-showrolesallowed.htm&locale=en
SAS Visual Analytics,accessControl,showRolesIn,Shows the currently active role,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-showrolesin.htm&locale=en
SAS Visual Analytics,accessControl,startTransaction,"Initiates an access control transaction in the current client session. Within a transaction, changes are private. Within a transaction, only exclusively reserved (checked-out) objects and their children can be updated. A transaction terminates when it is committed or rolled back",http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-starttransaction.htm&locale=en
SAS Visual Analytics,accessControl,statusTransaction,Shows whether client session has an active transaction,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-statustransaction.htm&locale=en
SAS Visual Analytics,accessControl,updSomeAcsAction,"Adds, deletes, and modifies some access controls for an action",http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-updsomeacsaction.htm&locale=en
SAS Visual Analytics,accessControl,updSomeAcsActionSet,"Adds, deletes, and modifies some access controls for an action set",http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-updsomeacsactionset.htm&locale=en
SAS Visual Analytics,accessControl,updSomeAcsCaslib,"Adds, deletes, and modifies some access controls for a caslib",http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-updsomeacscaslib.htm&locale=en
SAS Visual Analytics,accessControl,updSomeAcsColumn,"Adds, deletes, and modifies some access controls for a column",http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-updsomeacscolumn.htm&locale=en
SAS Visual Analytics,accessControl,updSomeAcsTable,"Adds, deletes, and modifies some access controls for a table",http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-updsomeacstable.htm&locale=en
SAS Visual Analytics,accessControl,whatCheckoutsExist,"Lists checkouts held on an object, its parents, and optionally its children",http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-whatcheckoutsexist.htm&locale=en
SAS Visual Analytics,accessControl,whatIsEffective,Lists effective access and explanations (Origins),http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-whatiseffective.htm&locale=en
SAS Visual Analytics,aggregation,aggregate,Performs aggregation on selected variables,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-aggregation-aggregate.htm&locale=en
SAS Visual Analytics,aStore,describe,Describes some of the contents of the analytic store,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactml&docsetTarget=cas-astore-describe.htm&locale=en
SAS Visual Analytics,aStore,download,Downloads a remote store to a local store,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactml&docsetTarget=cas-astore-download.htm&locale=en
SAS Visual Analytics,aStore,score,Uses an analytic store to score an input table,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactml&docsetTarget=cas-astore-score.htm&locale=en
SAS Visual Analytics,aStore,upload,Uploads a local store to a remote store,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactml&docsetTarget=cas-astore-upload.htm&locale=en
SAS Visual Analytics,builtins,actionSetFromTable,Restores a user-defined action set from a saved table,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-builtins-actionsetfromtable.htm&locale=en
SAS Visual Analytics,builtins,actionSetInfo,Shows the build information from loaded action sets,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-builtins-actionsetinfo.htm&locale=en
SAS Visual Analytics,builtins,actionSetToTable,Makes an in-memory table from a user-defined action set,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-builtins-actionsettotable.htm&locale=en
SAS Visual Analytics,builtins,addNode,Adds a machine to the server,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-builtins-addnode.htm&locale=en
SAS Visual Analytics,builtins,defineActionSet,Defines a new user-defined action set,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-builtins-defineactionset.htm&locale=en
SAS Visual Analytics,builtins,describeActionSet,Describes a user-defined action set,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-builtins-describeactionset.htm&locale=en
SAS Visual Analytics,builtins,dropActionSet,Drops a user-defined action set,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-builtins-dropactionset.htm&locale=en
SAS Visual Analytics,builtins,echo,Prints the supplied parameters to the client log,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-builtins-echo.htm&locale=en
SAS Visual Analytics,builtins,getCacheInfo,Retrieves info about CAS_DISK_CACHE usage on session worker nodes,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-builtins-getcacheinfo.htm&locale=en
SAS Visual Analytics,builtins,getLicenseInfo,Shows the license information for a SAS product,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-builtins-getlicenseinfo.htm&locale=en
SAS Visual Analytics,builtins,getLicensedProductInfo,Shows the information for licensed SAS products,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-builtins-getlicensedproductinfo.htm&locale=en
SAS Visual Analytics,builtins,help,Shows the parameters for an action or lists all available actions,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-builtins-help.htm&locale=en
SAS Visual Analytics,builtins,history,Shows the actions that were run in this session,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-builtins-history.htm&locale=en
SAS Visual Analytics,builtins,httpAddress,Shows the HTTP address for the server monitor,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-builtins-httpaddress.htm&locale=en
SAS Visual Analytics,builtins,installActionSet,Loads an action set in new sessions automatically,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-builtins-installactionset.htm&locale=en
SAS Visual Analytics,builtins,listNodes,Shows the host names used by the server,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-builtins-listnodes.htm&locale=en
SAS Visual Analytics,builtins,loadActionSet,Loads an action set for use in this session,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-builtins-loadactionset.htm&locale=en
SAS Visual Analytics,builtins,log,Shows and modifies logging levels,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-builtins-log.htm&locale=en
SAS Visual Analytics,builtins,modifyQueue,Modifies the action response queue settings,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-builtins-modifyqueue.htm&locale=en
SAS Visual Analytics,builtins,ping,Sends a single request to the server to confirm that the connection is working,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-builtins-ping.htm&locale=en
SAS Visual Analytics,builtins,queryActionSet,Shows whether an action set is loaded,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-builtins-queryactionset.htm&locale=en
SAS Visual Analytics,builtins,queryName,Checks whether a name is an action or action set name,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-builtins-queryname.htm&locale=en
SAS Visual Analytics,builtins,reflect,Shows detailed parameter information for an action or all actions in an action set,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-builtins-reflect.htm&locale=en
SAS Visual Analytics,builtins,refreshLicense,Refresh SAS license information from a file,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-builtins-refreshlicense.htm&locale=en
SAS Visual Analytics,builtins,removeNode,Remove one or more machines from the server,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-builtins-removenode.htm&locale=en
SAS Visual Analytics,builtins,serverStatus (about),Shows the status of the server,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-builtins-serverstatus.htm&locale=en
SAS Visual Analytics,builtins,shutdown,Shuts down the server,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-builtins-shutdown.htm&locale=en
SAS Visual Analytics,builtins,userInfo,Shows the user information for your connection,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-builtins-userinfo.htm&locale=en
SAS Visual Analytics,sccasl,runCasl,Runs CASL code,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-sccasl-runcasl.htm&locale=en
SAS Visual Analytics,dataPreprocess,binning,Performs unsupervised variable discretization,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-datapreprocess-binning.htm&locale=en
SAS Visual Analytics,dataPreprocess,catTrans,Groups and encodes categorical variables using unsupervised and supervised grouping techniques,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-datapreprocess-cattrans.htm&locale=en
SAS Visual Analytics,dataPreprocess,discretize,Performs supervised and unsupervised variable discretization,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-datapreprocess-discretize.htm&locale=en
SAS Visual Analytics,dataPreprocess,highCardinality,Performs randomized cardinality estimation,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-datapreprocess-highcardinality.htm&locale=en
SAS Visual Analytics,dataPreprocess,histogram,Generates histogram bins and simple bin-based statistics for numeric variables,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-datapreprocess-histogram.htm&locale=en
SAS Visual Analytics,dataPreprocess,impute,Performs data matrix (variable) imputation,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-datapreprocess-impute.htm&locale=en
SAS Visual Analytics,dataPreprocess,kde,Computes kernel density estimation,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-datapreprocess-kde.htm&locale=en
SAS Visual Analytics,dataPreprocess,outlier,Performs outlier detection and treatment,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-datapreprocess-outlier.htm&locale=en
SAS Visual Analytics,dataPreprocess,rustats,"Computes robust univariate statistics, centralized moments, quantiles, and frequency distribution statistics",http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-datapreprocess-rustats.htm&locale=en
SAS Visual Analytics,dataPreprocess,transform,"Performs pipelined variable imputation, outlier detection and treatment, functional transformation, binning, and robust univariate statistics to evaluate the quality of the transformation",http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-datapreprocess-transform.htm&locale=en
SAS Visual Analytics,dataStep,runCode,Runs DATA step code,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-datastep-runcode.htm&locale=en
SAS Visual Analytics,dataStep,runCodeTable,Runs DATA step code stored in a CAS table,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-datastep-runcodetable.htm&locale=en
SAS Visual Analytics,decisionTree,dtreeCode,Generates DATA step scoring code from a decision tree model,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-decisiontree-dtreecode.htm&locale=en
SAS Visual Analytics,decisionTree,dtreeExportModel,Export the aStore model for a tree model table,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-decisiontree-dtreeexportmodel.htm&locale=en
SAS Visual Analytics,decisionTree,dtreeMerge,Merges decision tree nodes,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-decisiontree-dtreemerge.htm&locale=en
SAS Visual Analytics,decisionTree,dtreePrune,Prune a decision tree,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-decisiontree-dtreeprune.htm&locale=en
SAS Visual Analytics,decisionTree,dtreeScore,Scores a table using a decision tree model,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-decisiontree-dtreescore.htm&locale=en
SAS Visual Analytics,decisionTree,dtreeSplit,Splits decision tree nodes,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-decisiontree-dtreesplit.htm&locale=en
SAS Visual Analytics,decisionTree,dtreeTrain,Trains a decision tree,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-decisiontree-dtreetrain.htm&locale=en
SAS Visual Analytics,decisionTree,forestCode,Generates DATA step scoring code from a forest model,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-decisiontree-forestcode.htm&locale=en
SAS Visual Analytics,decisionTree,forestScore,Scores a table using a forest model,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-decisiontree-forestscore.htm&locale=en
SAS Visual Analytics,decisionTree,forestTrain,Trains a forest. This action requires a SAS Visual Data Mining and Machine Learning license,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-decisiontree-foresttrain.htm&locale=en
SAS Visual Analytics,decisionTree,gbtreeCode,Generates DATA step scoring code from a gradient boosting tree model,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-decisiontree-gbtreecode.htm&locale=en
SAS Visual Analytics,decisionTree,gbtreeScore,Scores a table using a gradient boosting tree model,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-decisiontree-gbtreescore.htm&locale=en
SAS Visual Analytics,decisionTree,gbtreeTrain,Trains a gradient boosting tree. This action requires a SAS Visual Data Mining and Machine Learning license,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-decisiontree-gbtreetrain.htm&locale=en
SAS Visual Analytics,ds2,runDS2,Prepares and executes a DS2 program,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-ds2-runds2.htm&locale=en
SAS Visual Analytics,ds2,runModel,Prepares and executes a DS2 program passed as an entry in a model table,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-ds2-runmodel.htm&locale=en
SAS Visual Analytics,deduplication,deduplicate,Eliminates rows that have duplicate or unique group-by variable values,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-deduplication-deduplicate.htm&locale=en
SAS Visual Analytics,espCluster,listservers,Lists ESP server information,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-espcluster-listservers.htm&locale=en
SAS Visual Analytics,espCluster,startservers,Starts a cluster of ESP servers,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-espcluster-startservers.htm&locale=en
SAS Visual Analytics,fcmpact,addRoutines,Adds the FCMP routines and stores them in a table,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-fcmpact-addroutines.htm&locale=en
SAS Visual Analytics,fcmpact,loadFcmpLibs,Loads FCMP tables in the session CMP library,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-fcmpact-loadfcmplibs.htm&locale=en
SAS Visual Analytics,fcmpact,loadFcmpTable,Loads a single FCMP table into memory,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-fcmpact-loadfcmptable.htm&locale=en
SAS Visual Analytics,fcmpact,runProgram,Defines the routine to be run,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-fcmpact-runprogram.htm&locale=en
SAS Visual Analytics,fedSql,execDirect,Submits a SAS FedSQL language statement for immediate execution,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-fedsql-execdirect.htm&locale=en
SAS Visual Analytics,hyperGroup,hypergroup,"Find hypergroups, graph layouts, colors, communities, centralities, and create structural and nBody graphs. Find shortest paths.",http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-hypergroup-hypergroup.htm&locale=en
SAS Visual Analytics,hyperGroup,thePlotThickens,Determine which points to display in plots when the data has a great many points.,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-hypergroup-theplotthickens.htm&locale=en
SAS Visual Analytics,modelPublishing,copyModelExternal,Copies a model from a CAS table to an external database,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-modelpublishing-copymodelexternal.htm&locale=en
SAS Visual Analytics,modelPublishing,deleteModel,Deletes a model from a model table in CAS,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-modelpublishing-deletemodel.htm&locale=en
